x,y,b,r
481.0,491.0,216.4,2.8284271247461903
1372.0,1153.0,220.32,2.8284271247461903
759.0,342.0,236.92,2.8284271247461903
1290.0,461.0,236.24,2.8284271247461903
1994.0,1190.0,247.56,2.8284271247461903
215.0,1089.0,194.56,2.8284271247461903
1912.0,983.0,197.76,2.8284271247461903
649.0,403.0,245.2,2.8284271247461903
1572.0,83.0,228.88,2.8284271247461903
783.0,739.0,225.44,2.8284271247461903
1985.0,665.0,190.0,2.8284271247461903
1551.0,585.0,189.0,2.8284271247461903
489.0,1220.0,188.96,2.8284271247461903
1538.0,111.0,247.48,2.8284271247461903
161.0,184.0,175.36,2.8284271247461903
1534.0,1112.0,195.4,2.8284271247461903
1872.0,399.0,172.6,2.8284271247461903
717.0,1118.0,180.24,2.8284271247461903
1605.0,494.0,178.0,2.8284271247461903
488.0,272.0,255.0,2.8284271247461903
630.0,1220.0,183.8,2.8284271247461903
2013.0,1209.0,163.76,2.8284271247461903
1374.0,1103.0,161.8,2.8284271247461903
713.0,86.0,162.24,2.8284271247461903
23.0,228.0,172.04,2.8284271247461903
378.0,1147.0,173.84,2.8284271247461903
429.0,850.0,168.96,2.8284271247461903
841.0,872.0,218.8,2.8284271247461903
1028.0,1077.0,224.56,2.8284271247461903
1955.0,55.0,152.32,2.8284271247461903
973.0,1226.0,154.92,2.8284271247461903
1017.0,1040.0,154.96,2.8284271247461903
1267.0,912.0,163.6094674556213,7.228202652129152
1109.0,56.0,238.04,2.8284271247461903
805.0,148.0,167.8,2.8284271247461903
492.0,377.0,144.2,2.8284271247461903
570.0,569.0,149.48,2.8284271247461903
586.0,387.0,148.0,2.8284271247461903
546.0,477.0,169.28,2.8284271247461903
245.0,708.0,142.64,2.8284271247461903
836.0,232.0,151.2,2.8284271247461903
773.0,580.0,146.92,2.8284271247461903
300.0,1065.0,133.2662721893491,7.228202652129152
894.0,553.0,128.1301775147929,7.228202652129152
1786.0,876.0,151.2,2.8284271247461903
1644.0,795.0,137.64,2.8284271247461903
1433.0,925.0,139.28,2.8284271247461903
1132.0,686.0,240.0,2.8284271247461903
1285.0,975.0,138.92,2.8284271247461903
1238.0,189.0,141.04,2.8284271247461903
1924.0,343.0,136.16,2.8284271247461903
753.0,1166.0,124.02366863905326,7.228202652129152
1208.0,835.0,158.88,2.8284271247461903
1217.0,60.0,127.16,2.8284271247461903
278.0,881.0,132.0,2.8284271247461903
803.0,134.0,255.0,2.8284271247461903
1386.0,1114.0,127.36,2.8284271247461903
1572.0,630.0,179.33727810650888,7.228202652129152
205.0,1184.0,131.12,2.8284271247461903
1171.0,572.0,121.91124260355029,7.228202652129152
124.0,219.0,170.52,2.8284271247461903
522.0,482.0,129.04,2.8284271247461903
1672.0,666.0,120.81065088757397,7.228202652129152
1211.0,808.0,120.42603550295858,7.228202652129152
404.0,1045.0,119.24,2.8284271247461903
997.0,453.0,119.22485207100591,7.228202652129152
1427.0,201.0,124.44,2.8284271247461903
922.0,363.0,120.48,2.8284271247461903
1853.0,950.0,124.32,2.8284271247461903
1439.0,461.0,124.44,2.8284271247461903
1279.0,654.0,119.96,2.8284271247461903
108.0,518.0,131.56,2.8284271247461903
463.0,0.0,161.93333333333334,2.8284271247461903
712.0,159.0,119.28,2.8284271247461903
2045.0,378.0,119.84,2.8284271247461903
1434.0,984.0,115.67455621301775,7.228202652129152
1261.0,270.0,254.92,2.8284271247461903
1757.0,1193.0,109.87573964497041,7.228202652129152
185.0,1213.0,116.08,2.8284271247461903
1837.0,1109.0,115.12,2.8284271247461903
668.0,1085.0,115.48,2.8284271247461903
1953.0,538.0,109.68,2.8284271247461903
607.0,1231.0,111.92,2.8284271247461903
1154.0,44.0,242.44,2.8284271247461903
1984.0,634.0,115.2,2.8284271247461903
1759.0,866.0,108.44,2.8284271247461903
580.0,768.0,109.44,2.8284271247461903
303.0,855.0,114.84,2.8284271247461903
333.0,189.0,112.52,2.8284271247461903
1323.0,304.0,99.92,2.8284271247461903
800.0,1242.0,133.8796992481203,7.228202652129152
739.0,544.0,108.8,2.8284271247461903
1882.0,621.0,107.88,2.8284271247461903
1955.0,281.0,99.8,2.8284271247461903
853.0,859.0,100.4,2.8284271247461903
498.0,1016.0,95.96,2.8284271247461903
1593.0,521.0,97.12,2.8284271247461903
102.0,914.0,97.36,2.8284271247461903
1651.0,772.0,97.32,2.8284271247461903
2061.0,950.0,94.24,2.8284271247461903
1313.0,159.0,97.72,2.8284271247461903
316.0,984.0,94.24,2.8284271247461903
1721.0,401.0,94.92,2.8284271247461903
38.0,301.0,102.24,2.8284271247461903
713.0,647.0,93.32,2.8284271247461903
945.0,40.0,92.6,2.8284271247461903
773.0,290.0,92.0,2.8284271247461903
836.0,877.0,113.08,2.8284271247461903
192.0,484.0,92.84,2.8284271247461903
1343.0,142.0,96.24,2.8284271247461903
1595.0,1067.0,94.24,2.8284271247461903
138.0,820.0,93.0,2.8284271247461903
178.0,448.0,93.24,2.8284271247461903
964.0,614.0,92.0,2.8284271247461903
631.0,919.0,94.6,2.8284271247461903
1143.0,209.0,87.92,2.8284271247461903
1401.0,858.0,87.28,2.8284271247461903
151.0,882.0,89.88,2.8284271247461903
649.0,1208.0,94.8,2.8284271247461903
1756.0,696.0,86.44,2.8284271247461903
233.0,214.0,85.36,2.8284271247461903
2101.0,76.0,124.13063063063063,11.627978179512114
915.0,397.0,88.48,2.8284271247461903
1940.0,382.0,88.28,2.8284271247461903
1011.0,398.0,85.44,2.8284271247461903
1922.0,357.0,88.16,2.8284271247461903
970.0,887.0,83.52,2.8284271247461903
1585.0,643.0,111.16568047337279,7.228202652129152
1560.0,618.0,116.14792899408285,7.228202652129152
1589.0,237.0,80.76,2.8284271247461903
544.0,469.0,92.88,2.8284271247461903
257.0,1160.0,86.92,2.8284271247461903
1899.0,31.0,79.76,2.8284271247461903
554.0,636.0,81.2,2.8284271247461903
619.0,339.0,81.36,2.8284271247461903
1438.0,1078.0,78.4,2.8284271247461903
803.0,1233.0,108.56,2.8284271247461903
46.0,204.0,79.72,2.8284271247461903
454.0,908.0,78.48,2.8284271247461903
149.0,216.0,74.88,2.8284271247461903
2101.0,387.0,75.8,2.8284271247461903
891.0,1098.0,80.4,2.8284271247461903
1580.0,1225.0,74.08,2.8284271247461903
116.0,153.0,74.44,2.8284271247461903
1376.0,140.0,71.8,2.8284271247461903
1468.0,679.0,73.72,2.8284271247461903
678.0,226.0,73.84,2.8284271247461903
1334.0,609.0,73.96,2.8284271247461903
241.0,783.0,73.32,2.8284271247461903
115.0,109.0,78.76,2.8284271247461903
789.0,747.0,84.04,2.8284271247461903
470.0,394.0,69.96,2.8284271247461903
393.0,472.0,71.48,2.8284271247461903
340.0,773.0,71.64,2.8284271247461903
423.0,943.0,69.96,2.8284271247461903
117.0,901.0,72.8,2.8284271247461903
1120.0,748.0,70.92,2.8284271247461903
1759.0,495.0,72.8,2.8284271247461903
914.0,145.0,72.56,2.8284271247461903
1433.0,263.0,71.76,2.8284271247461903
59.0,424.0,71.32,2.8284271247461903
696.0,901.0,68.6,2.8284271247461903
346.0,618.0,69.32,2.8284271247461903
17.0,261.0,71.84,2.8284271247461903
174.0,946.0,69.4,2.8284271247461903
1725.0,111.0,67.04,2.8284271247461903
1982.0,378.0,66.92,2.8284271247461903
375.0,673.0,65.0,2.8284271247461903
1990.0,363.0,67.04,2.8284271247461903
1113.0,576.0,67.16,2.8284271247461903
517.0,63.0,65.72,2.8284271247461903
1364.0,369.0,65.04,2.8284271247461903
1264.0,208.0,67.12,2.8284271247461903
943.0,907.0,65.68,2.8284271247461903
775.0,116.0,65.68,2.8284271247461903
50.0,1200.0,67.48,2.8284271247461903
35.0,236.0,66.76,2.8284271247461903
1120.0,713.0,62.6,2.8284271247461903
856.0,723.0,64.72,2.8284271247461903
838.0,1020.0,63.24,2.8284271247461903
1981.0,173.0,64.4,2.8284271247461903
1897.0,340.0,62.4,2.8284271247461903
536.0,399.0,62.32,2.8284271247461903
183.0,956.0,66.24,2.8284271247461903
1331.0,963.0,63.24,2.8284271247461903
1438.0,738.0,61.24,2.8284271247461903
1157.0,1238.0,62.68,2.8284271247461903
1428.0,1170.0,62.28,2.8284271247461903
988.0,340.0,61.28,2.8284271247461903
2032.0,208.0,60.32,2.8284271247461903
182.0,16.0,63.04,2.8284271247461903
1434.0,126.0,60.4,2.8284271247461903
526.0,1117.0,62.4,2.8284271247461903
914.0,479.0,60.28,2.8284271247461903
1732.0,940.0,66.44,2.8284271247461903
484.0,394.0,60.48,2.8284271247461903
1294.0,997.0,59.2,2.8284271247461903
929.0,878.0,61.2,2.8284271247461903
1263.0,952.0,59.32,2.8284271247461903
1936.0,351.0,59.56,2.8284271247461903
1944.0,916.0,59.76,2.8284271247461903
734.0,2.0,65.64,2.8284271247461903
258.0,88.0,58.2,2.8284271247461903
2078.0,324.0,58.08,2.8284271247461903
1316.0,1024.0,58.04,2.8284271247461903
31.0,967.0,63.0,2.8284271247461903
1689.0,740.0,65.52,2.8284271247461903
966.0,428.0,56.92,2.8284271247461903
186.0,626.0,59.2,2.8284271247461903
1211.0,254.0,58.64,2.8284271247461903
1599.0,290.0,58.76,2.8284271247461903
664.0,145.0,56.44,2.8284271247461903
733.0,524.0,56.52,2.8284271247461903
259.0,1114.0,59.76,2.8284271247461903
286.0,463.0,57.56,2.8284271247461903
188.0,1006.0,60.24,2.8284271247461903
1503.0,772.0,57.28,2.8284271247461903
1137.0,952.0,57.92,2.8284271247461903
551.0,327.0,57.4,2.8284271247461903
398.0,206.0,56.8,2.8284271247461903
819.0,310.0,57.48,2.8284271247461903
34.0,706.0,62.08,2.8284271247461903
29.0,143.0,59.8,2.8284271247461903
1530.0,494.0,56.2,2.8284271247461903
454.0,231.0,57.04,2.8284271247461903
144.0,1114.0,59.64,2.8284271247461903
1183.0,712.0,56.2,2.8284271247461903
219.0,535.0,55.52,2.8284271247461903
943.0,616.0,54.36,2.8284271247461903
1891.0,280.0,55.04,2.8284271247461903
635.0,1028.0,55.12,2.8284271247461903
241.0,1014.0,55.32,2.8284271247461903
1064.0,514.0,54.2,2.8284271247461903
372.0,1138.0,60.72,2.8284271247461903
643.0,1147.0,55.08,2.8284271247461903
23.0,1120.0,58.6,2.8284271247461903
1233.0,18.0,53.44,2.8284271247461903
1634.0,786.0,54.92,2.8284271247461903
1659.0,806.0,54.4,2.8284271247461903
1094.0,826.0,53.36,2.8284271247461903
935.0,420.0,53.0,2.8284271247461903
1602.0,1223.0,53.24,2.8284271247461903
879.0,256.0,54.32,2.8284271247461903
2081.0,74.0,75.03764115432874,16.02775370689508
593.0,564.0,53.28,2.8284271247461903
1579.0,1031.0,53.76,2.8284271247461903
1309.0,1205.0,53.72,2.8284271247461903
1606.0,364.0,53.88,2.8284271247461903
722.0,633.0,52.48,2.8284271247461903
904.0,679.0,53.08,2.8284271247461903
574.0,85.0,53.6,2.8284271247461903
78.0,150.0,53.64,2.8284271247461903
1947.0,523.0,52.8,2.8284271247461903
441.0,312.0,53.0,2.8284271247461903
33.0,682.0,54.92,2.8284271247461903
698.0,234.0,53.0,2.8284271247461903
1153.0,715.0,51.8,2.8284271247461903
222.0,742.0,53.36,2.8284271247461903
1272.0,1179.0,52.36,2.8284271247461903
1440.0,1198.0,52.32,2.8284271247461903
540.0,627.0,52.32,2.8284271247461903
1649.0,201.0,52.72,2.8284271247461903
1823.0,754.0,50.76,2.8284271247461903
1108.0,526.0,52.28,2.8284271247461903
1262.0,801.0,51.28,2.8284271247461903
535.0,651.0,52.04,2.8284271247461903
1829.0,354.0,51.88,2.8284271247461903
814.0,838.0,50.92,2.8284271247461903
1012.0,1011.0,50.96,2.8284271247461903
59.0,193.0,52.12,2.8284271247461903
81.0,1007.0,52.68,2.8284271247461903
1288.0,32.0,50.52,2.8284271247461903
1682.0,628.0,50.08,2.8284271247461903
1507.0,872.0,49.12,2.8284271247461903
457.0,143.0,52.32,2.8284271247461903
804.0,1001.0,49.96,2.8284271247461903
1660.0,947.0,49.8,2.8284271247461903
1030.0,843.0,50.16,2.8284271247461903
2023.0,933.0,49.36,2.8284271247461903
1332.0,393.0,50.24,2.8284271247461903
37.0,779.0,50.84,2.8284271247461903
1352.0,330.0,49.24,2.8284271247461903
1288.0,248.0,49.28,2.8284271247461903
1109.0,618.0,48.72,2.8284271247461903
474.0,183.0,49.24,2.8284271247461903
1556.0,834.0,48.72,2.8284271247461903
1177.0,380.0,48.0,2.8284271247461903
1022.0,891.0,47.36,2.8284271247461903
583.0,1018.0,48.64,2.8284271247461903
644.0,902.0,48.52,2.8284271247461903
1846.0,947.0,57.2,2.8284271247461903
1403.0,80.0,46.68,2.8284271247461903
1887.0,347.0,48.4,2.8284271247461903
1228.0,648.0,47.4,2.8284271247461903
524.0,1057.0,48.16,2.8284271247461903
228.0,1164.0,49.32,2.8284271247461903
394.0,242.0,46.0,2.8284271247461903
2067.0,371.0,46.96,2.8284271247461903
584.0,68.0,47.28,2.8284271247461903
69.0,1048.0,50.24,2.8284271247461903
678.0,606.0,47.04,2.8284271247461903
1626.0,618.0,46.48,2.8284271247461903
1357.0,978.0,45.44,2.8284271247461903
443.0,448.0,46.24,2.8284271247461903
386.0,319.0,44.76,2.8284271247461903
141.0,544.0,46.0,2.8284271247461903
468.0,803.0,44.6,2.8284271247461903
1292.0,418.0,45.32,2.8284271247461903
433.0,189.0,45.52,2.8284271247461903
393.0,582.0,44.48,2.8284271247461903
497.0,628.0,45.48,2.8284271247461903
877.0,641.0,44.88,2.8284271247461903
1021.0,178.0,44.16,2.8284271247461903
775.0,529.0,44.36,2.8284271247461903
778.0,962.0,45.52,2.8284271247461903
572.0,667.0,44.88,2.8284271247461903
332.0,380.0,44.64,2.8284271247461903
614.0,514.0,44.44,2.8284271247461903
90.0,983.0,47.8,2.8284271247461903
801.0,318.0,44.6,2.8284271247461903
377.0,63.0,44.52,2.8284271247461903
924.0,302.0,43.84,2.8284271247461903
1718.0,730.0,43.64,2.8284271247461903
1829.0,899.0,44.4,2.8284271247461903
1951.0,1178.0,44.16,2.8284271247461903
1816.0,113.0,43.44,2.8284271247461903
653.0,1048.0,44.28,2.8284271247461903
1390.0,947.0,43.12,2.8284271247461903
1173.0,63.0,44.44,2.8284271247461903
1795.0,765.0,44.04,2.8284271247461903
1851.0,293.0,43.72,2.8284271247461903
1670.0,313.0,43.4,2.8284271247461903
1104.0,1028.0,43.32,2.8284271247461903
158.0,159.0,43.6,2.8284271247461903
178.0,570.0,44.56,2.8284271247461903
1026.0,826.0,43.04,2.8284271247461903
711.0,968.0,42.92,2.8284271247461903
105.0,283.0,46.12,2.8284271247461903
716.0,679.0,42.96,2.8284271247461903
747.0,619.0,42.64,2.8284271247461903
1269.0,176.0,42.2,2.8284271247461903
314.0,104.0,42.4,2.8284271247461903
1501.0,551.0,42.48,2.8284271247461903
530.0,967.0,42.2,2.8284271247461903
1913.0,332.0,42.2,2.8284271247461903
1111.0,752.0,42.44,2.8284271247461903
795.0,661.0,41.84,2.8284271247461903
1951.0,327.0,40.68,2.8284271247461903
977.0,728.0,41.08,2.8284271247461903
763.0,100.0,41.48,2.8284271247461903
1749.0,805.0,41.24,2.8284271247461903
1798.0,376.0,40.72,2.8284271247461903
493.0,691.0,40.56,2.8284271247461903
423.0,623.0,39.92,2.8284271247461903
1206.0,472.0,40.08,2.8284271247461903
1395.0,1057.0,40.4,2.8284271247461903
1253.0,696.0,40.44,2.8284271247461903
1108.0,1199.0,40.36,2.8284271247461903
1217.0,641.0,39.72,2.8284271247461903
1289.0,677.0,40.32,2.8284271247461903
1066.0,894.0,39.84,2.8284271247461903
523.0,925.0,40.4,2.8284271247461903
657.0,468.0,40.2,2.8284271247461903
1059.0,1158.0,40.28,2.8284271247461903
906.0,960.0,39.48,2.8284271247461903
811.0,410.0,40.12,2.8284271247461903
1606.0,329.0,43.72,2.8284271247461903
1807.0,1209.0,40.0,2.8284271247461903
1796.0,612.0,39.32,2.8284271247461903
431.0,1011.0,39.72,2.8284271247461903
2026.0,849.0,38.16,2.8284271247461903
1396.0,722.0,39.08,2.8284271247461903
257.0,947.0,40.28,2.8284271247461903
1467.0,739.0,39.32,2.8284271247461903
379.0,915.0,38.44,2.8284271247461903
815.0,682.0,38.64,2.8284271247461903
34.0,1122.0,41.88,2.8284271247461903
1983.0,335.0,39.2,2.8284271247461903
328.0,143.0,38.72,2.8284271247461903
662.0,490.0,38.4,2.8284271247461903
496.0,446.0,38.76,2.8284271247461903
30.0,1113.0,42.44,2.8284271247461903
18.0,711.0,41.68,2.8284271247461903
410.0,651.0,38.88,2.8284271247461903
1868.0,701.0,38.4,2.8284271247461903
1929.0,1061.0,38.76,2.8284271247461903
380.0,1041.0,39.32,2.8284271247461903
1140.0,1167.0,38.68,2.8284271247461903
1480.0,1120.0,38.04,2.8284271247461903
1619.0,874.0,38.68,2.8284271247461903
1940.0,864.0,38.4,2.8284271247461903
1053.0,539.0,38.68,2.8284271247461903
412.0,1027.0,39.08,2.8284271247461903
1819.0,1171.0,37.64,2.8284271247461903
1640.0,274.0,38.28,2.8284271247461903
1997.0,390.0,38.12,2.8284271247461903
577.0,252.0,37.44,2.8284271247461903
622.0,416.0,37.48,2.8284271247461903
352.0,857.0,37.96,2.8284271247461903
145.0,697.0,39.44,2.8284271247461903
256.0,221.0,37.2,2.8284271247461903
